;pt1	pt2	distance	type 
0	1	99.718551947285547	Q20220720101510 
1	0	99.718551947285547	Q20220720101510 
1	2	87.128637270247722	Q20220720101510 
2	1	87.128637270247722	Q20220720101510 
2	3	12.589914677039197	Q20220720101510 
3	2	12.589914677039197	Q20220720101510 
3	4	99.718551947280289	Q20220720101510 
4	3	99.718551947280289	Q20220720101510 
4	5	83.246772134619377	Q20220720101510 
5	4	83.246772134619377	Q20220720101510 
5	6	16.471779812685256	Q20220720101510 
6	5	16.471779812685256	Q20220720101510 
6	7	99.718551947298650	Q20220720101510 
7	6	99.718551947298650	Q20220720101510 
7	8	45.059601613671873	Q20220720101510 
8	7	45.059601613671873	Q20220720101510 
8	9	54.658950333591179	Q20220720101510 
9	8	54.658950333591179	Q20220720101510 
9	10	99.718551947277476	Q20220720101510 
10	9	99.718551947277476	Q20220720101510 
10	11	99.718551947277476	Q20220720101510 
11	10	99.718551947277476	Q20220720101510 
11	12	99.718551947226601	Q20220720101510 
12	11	99.718551947226601	Q20220720101510 
12	13	99.718551947226601	Q20220720101510 
13	12	99.718551947226601	Q20220720101510 
13	14	99.718551947226601	Q20220720101510 
14	13	99.718551947226601	Q20220720101510 
14	15	99.718551947226601	Q20220720101510 
15	14	99.718551947226601	Q20220720101510 
15	16	99.718551947226601	Q20220720101510 
16	15	99.718551947226601	Q20220720101510 
16	17	99.718551947226601	Q20220720101510 
17	16	99.718551947226601	Q20220720101510 
17	18	99.718551947226601	Q20220720101510 
18	17	99.718551947226601	Q20220720101510 
18	19	99.718551947175740	Q20220720101510 
19	18	99.718551947175740	Q20220720101510 
19	20	99.718551947402105	Q20220720101510 
20	19	99.718551947402105	Q20220720101510 
20	21	99.718551947226601	Q20220720101510 
21	20	99.718551947226601	Q20220720101510 
21	22	99.718551947402105	Q20220720101510 
22	21	99.718551947402105	Q20220720101510 
22	23	53.666809788157089	Q20220720101510 
23	22	53.666809788157089	Q20220720101510 
23	24	46.051742159186723	Q20220720101510 
24	23	46.051742159186723	Q20220720101510 
24	25	99.718551947287963	Q20220720101510 
25	24	99.718551947287963	Q20220720101510 
25	26	34.869028294089077	Q20220720101510 
26	25	34.869028294089077	Q20220720101510 
26	27	64.849523653171957	Q20220720101510 
27	26	64.849523653171957	Q20220720101510 
27	28	99.718551947335499	Q20220720101510 
28	27	99.718551947335499	Q20220720101510 
28	29	75.152250251232161	Q20220720101510 
29	28	75.152250251232161	Q20220720101510 
29	30	24.566301696114412	Q20220720101510 
30	29	24.566301696114412	Q20220720101510 
30	31	99.718551947399177	Q20220720101510 
31	30	99.718551947399177	Q20220720101510 
