;pt1	pt2	distance	type
0	1	50.423523939587788	Q20241206002636
1	0	50.423523939587788	Q20241206002636
1	2	50.423523939587795	Q20241206002636
2	1	50.423523939587795	Q20241206002636
2	3	50.423523939587788	Q20241206002636
3	2	50.423523939587788	Q20241206002636
3	4	50.423523939587788	Q20241206002636
4	3	50.423523939587788	Q20241206002636
4	5	50.423523939587788	Q20241206002636
5	4	50.423523939587788	Q20241206002636
5	6	50.423523939587817	Q20241206002636
6	5	50.423523939587817	Q20241206002636
6	7	50.423523939587817	Q20241206002636
7	6	50.423523939587817	Q20241206002636
7	8	50.423523939587817	Q20241206002636
8	7	50.423523939587817	Q20241206002636
8	9	50.423523939587817	Q20241206002636
9	8	50.423523939587817	Q20241206002636
9	10	50.423523939587817	Q20241206002636
10	9	50.423523939587817	Q20241206002636
10	11	50.423523939587817	Q20241206002636
11	10	50.423523939587817	Q20241206002636
11	12	50.423523939587817	Q20241206002636
12	11	50.423523939587817	Q20241206002636
12	13	50.423523939587817	Q20241206002636
13	12	50.423523939587817	Q20241206002636
13	14	50.423523939587817	Q20241206002636
14	13	50.423523939587817	Q20241206002636
14	15	50.423523939587817	Q20241206002636
15	14	50.423523939587817	Q20241206002636
15	16	50.423523939587817	Q20241206002636
16	15	50.423523939587817	Q20241206002636
16	17	50.423523939587817	Q20241206002636
17	16	50.423523939587817	Q20241206002636
17	18	50.423523939587817	Q20241206002636
18	17	50.423523939587817	Q20241206002636
18	19	50.423523939587817	Q20241206002636
19	18	50.423523939587817	Q20241206002636
19	20	50.423523939587817	Q20241206002636
20	19	50.423523939587817	Q20241206002636
20	21	50.423523939587703	Q20241206002636
21	20	50.423523939587703	Q20241206002636
21	22	50.423523939587703	Q20241206002636
22	21	50.423523939587703	Q20241206002636
22	23	50.423523939587703	Q20241206002636
23	22	50.423523939587703	Q20241206002636
23	24	50.423523939587703	Q20241206002636
24	23	50.423523939587703	Q20241206002636
24	25	50.423523939587703	Q20241206002636
25	24	50.423523939587703	Q20241206002636
25	26	50.423523939587703	Q20241206002636
26	25	50.423523939587703	Q20241206002636
26	27	50.423523939587703	Q20241206002636
27	26	50.423523939587703	Q20241206002636
27	28	50.423523939587703	Q20241206002636
28	27	50.423523939587703	Q20241206002636
28	29	50.423523939587703	Q20241206002636
29	28	50.423523939587703	Q20241206002636
29	30	50.423523939587703	Q20241206002636
30	29	50.423523939587703	Q20241206002636
30	31	50.423523939587703	Q20241206002636
31	30	50.423523939587703	Q20241206002636
31	32	50.423523939587703	Q20241206002636
32	31	50.423523939587703	Q20241206002636
32	33	50.423523939587703	Q20241206002636
33	32	50.423523939587703	Q20241206002636
33	34	50.423523939587703	Q20241206002636
34	33	50.423523939587703	Q20241206002636
34	35	50.423523939587703	Q20241206002636
35	34	50.423523939587703	Q20241206002636
35	36	50.423523939587703	Q20241206002636
36	35	50.423523939587703	Q20241206002636
36	37	50.423523939587703	Q20241206002636
37	36	50.423523939587703	Q20241206002636
37	38	50.423523939587703	Q20241206002636
38	37	50.423523939587703	Q20241206002636
38	39	50.423523939587703	Q20241206002636
39	38	50.423523939587703	Q20241206002636
39	40	50.423523939587703	Q20241206002636
40	39	50.423523939587703	Q20241206002636
40	41	50.423523939587930	Q20241206002636
41	40	50.423523939587930	Q20241206002636
41	42	50.423523939587930	Q20241206002636
42	41	50.423523939587930	Q20241206002636
42	43	50.423523939587930	Q20241206002636
43	42	50.423523939587930	Q20241206002636
43	44	50.423523939587930	Q20241206002636
44	43	50.423523939587930	Q20241206002636
44	45	50.423523939587930	Q20241206002636
45	44	50.423523939587930	Q20241206002636
45	46	50.423523939587930	Q20241206002636
46	45	50.423523939587930	Q20241206002636
46	47	50.423523939587930	Q20241206002636
47	46	50.423523939587930	Q20241206002636
47	48	50.423523939587930	Q20241206002636
48	47	50.423523939587930	Q20241206002636
48	49	50.423523939587930	Q20241206002636
49	48	50.423523939587930	Q20241206002636
49	50	50.423523939587930	Q20241206002636
50	49	50.423523939587930	Q20241206002636
50	51	50.423523939587930	Q20241206002636
51	50	50.423523939587930	Q20241206002636
51	52	50.423523939587930	Q20241206002636
52	51	50.423523939587930	Q20241206002636
52	53	50.423523939587930	Q20241206002636
53	52	50.423523939587930	Q20241206002636
53	54	50.423523939587930	Q20241206002636
54	53	50.423523939587930	Q20241206002636
54	55	50.423523939587930	Q20241206002636
55	54	50.423523939587930	Q20241206002636
55	56	50.423523939587930	Q20241206002636
56	55	50.423523939587930	Q20241206002636
56	57	50.423523939587930	Q20241206002636
57	56	50.423523939587930	Q20241206002636
57	58	50.423523939587930	Q20241206002636
58	57	50.423523939587930	Q20241206002636
58	59	50.423523939587930	Q20241206002636
59	58	50.423523939587930	Q20241206002636
59	60	50.423523939587930	Q20241206002636
60	59	50.423523939587930	Q20241206002636
60	61	50.423523939587930	Q20241206002636
61	60	50.423523939587930	Q20241206002636
61	62	50.423523939587930	Q20241206002636
62	61	50.423523939587930	Q20241206002636
62	63	50.423523939587930	Q20241206002636
63	62	50.423523939587930	Q20241206002636
63	64	50.423523939587930	Q20241206002636
64	63	50.423523939587930	Q20241206002636
64	65	50.423523939587930	Q20241206002636
65	64	50.423523939587930	Q20241206002636
65	66	50.423523939587930	Q20241206002636
66	65	50.423523939587930	Q20241206002636
66	67	50.423523939587930	Q20241206002636
67	66	50.423523939587930	Q20241206002636
67	68	50.423523939587930	Q20241206002636
68	67	50.423523939587930	Q20241206002636
68	69	50.423523939587930	Q20241206002636
69	68	50.423523939587930	Q20241206002636
69	70	50.423523939587930	Q20241206002636
70	69	50.423523939587930	Q20241206002636
70	71	50.423523939587930	Q20241206002636
71	70	50.423523939587930	Q20241206002636
71	72	50.423523939587930	Q20241206002636
72	71	50.423523939587930	Q20241206002636
72	73	50.423523939587930	Q20241206002636
73	72	50.423523939587930	Q20241206002636
73	74	50.423523939587930	Q20241206002636
74	73	50.423523939587930	Q20241206002636
74	75	50.423523939587930	Q20241206002636
75	74	50.423523939587930	Q20241206002636
75	76	50.423523939587930	Q20241206002636
76	75	50.423523939587930	Q20241206002636
76	77	50.423523939587930	Q20241206002636
77	76	50.423523939587930	Q20241206002636
77	78	50.423523939587930	Q20241206002636
78	77	50.423523939587930	Q20241206002636
78	79	50.423523939587930	Q20241206002636
79	78	50.423523939587930	Q20241206002636
79	80	50.423523939587930	Q20241206002636
80	79	50.423523939587930	Q20241206002636
80	81	50.423523939587930	Q20241206002636
81	80	50.423523939587930	Q20241206002636
81	82	50.423523939587930	Q20241206002636
82	81	50.423523939587930	Q20241206002636
82	83	50.423523939587469	Q20241206002636
83	82	50.423523939587469	Q20241206002636
83	84	50.423523939587469	Q20241206002636
84	83	50.423523939587469	Q20241206002636
84	85	50.423523939587469	Q20241206002636
85	84	50.423523939587469	Q20241206002636
85	86	50.423523939587469	Q20241206002636
86	85	50.423523939587469	Q20241206002636
86	87	50.423523939587469	Q20241206002636
87	86	50.423523939587469	Q20241206002636
87	88	50.423523939587469	Q20241206002636
88	87	50.423523939587469	Q20241206002636
88	89	50.423523939587469	Q20241206002636
89	88	50.423523939587469	Q20241206002636
89	90	50.423523939587469	Q20241206002636
90	89	50.423523939587469	Q20241206002636
90	91	50.423523939587469	Q20241206002636
91	90	50.423523939587469	Q20241206002636
91	92	50.423523939587469	Q20241206002636
92	91	50.423523939587469	Q20241206002636
92	93	50.423523939587469	Q20241206002636
93	92	50.423523939587469	Q20241206002636
93	94	50.423523939587469	Q20241206002636
94	93	50.423523939587469	Q20241206002636
94	95	50.423523939587469	Q20241206002636
95	94	50.423523939587469	Q20241206002636
95	96	50.423523939587469	Q20241206002636
96	95	50.423523939587469	Q20241206002636
96	97	50.423523939587469	Q20241206002636
97	96	50.423523939587469	Q20241206002636
97	98	50.423523939587469	Q20241206002636
98	97	50.423523939587469	Q20241206002636
98	99	50.423523939587469	Q20241206002636
99	98	50.423523939587469	Q20241206002636
99	100	50.423523939587469	Q20241206002636
100	99	50.423523939587469	Q20241206002636
100	101	50.423523939587469	Q20241206002636
101	100	50.423523939587469	Q20241206002636
101	102	50.423523939587469	Q20241206002636
102	101	50.423523939587469	Q20241206002636
102	103	50.423523939587469	Q20241206002636
103	102	50.423523939587469	Q20241206002636
103	104	50.423523939587469	Q20241206002636
104	103	50.423523939587469	Q20241206002636
104	105	50.423523939587469	Q20241206002636
105	104	50.423523939587469	Q20241206002636
105	106	50.423523939587469	Q20241206002636
106	105	50.423523939587469	Q20241206002636
106	107	50.423523939587469	Q20241206002636
107	106	50.423523939587469	Q20241206002636
